                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4729,                 2.0789,                 2.0894,                 0.6015,                0.87647,                0.70083,                0.50904,                 1.0619,                 1.1709,                 1.3612,             0.00055531,             0.00055531,             0.00055531
                      2,                0.85252,                0.58601,                 1.2633,                0.73021,                0.79683,                0.76954,                0.58915,                0.91059,                0.94939,                 1.2079,               0.001001,               0.001001,               0.001001
                      3,                0.74904,                0.46212,                 1.1543,                0.68919,                0.78857,                0.71364,                0.56243,                0.83689,                 1.2749,                 1.1434,              0.0013367,              0.0013367,              0.0013367
                      4,                0.67564,                0.39723,                 1.0908,                0.68705,                0.74775,                0.67018,                0.52613,                0.83739,                 1.3897,                 1.1424,              0.0011719,              0.0011719,              0.0011719
                      5,                0.63792,                0.36635,                 1.0571,                0.66146,                0.72357,                0.65155,                0.52482,                0.79706,                 1.5413,                  1.117,              0.0011719,              0.0011719,              0.0011719
                      6,                0.59273,                0.33367,                 1.0239,                0.66982,                0.74903,                0.67002,                0.53646,                0.80479,                 1.6284,                 1.1144,              0.0010069,              0.0010069,              0.0010069
                      7,                0.55786,                0.30777,                0.99713,                0.63915,                0.77433,                0.65309,                0.52323,                0.80036,                 1.6646,                 1.1298,             0.00084184,             0.00084184,             0.00084184
                      8,                0.52575,                 0.2863,                0.97126,                0.67926,                0.77025,                0.71545,                 0.5731,                0.80578,                 1.3853,                 1.1271,              0.0006768,              0.0006768,              0.0006768
                      9,                0.49988,                0.26728,                0.95554,                0.68466,                0.77874,                0.68145,                0.54355,                0.82344,                 1.5969,                 1.1482,             0.00051177,             0.00051177,             0.00051177
                     10,                0.47221,                0.24896,                0.93527,                0.64875,                0.80763,                0.68974,                0.55564,                0.81634,                 1.5125,                 1.1435,             0.00034674,             0.00034674,             0.00034674
